Posting Date,Order No.,Work center Number,Department,Item,Time,Quantity,Sales order
4/27/2023,POR-11043581,100,Machine Carpentry,Door,1.65,21,SSO-12149005
4/27/2023,POR-11043581,101,Machine Carpentry,Door,1.79,21,SSO-12149005
4/27/2023,POR-11043581,102,Machine Carpentry,Door,1.43,21,SSO-12149005
4/27/2023,POR-11043581,103,Machine Carpentry,Door,6.43,21,SSO-12149005
4/27/2023,POR-11043580,106,Machine Carpentry,Door,25,21,SSO-12149005
4/27/2023,POR-11043580,107,Assembly,Door,151.08,21,SSO-12149005
3/31/2023,POR-11043580,205,Painting ,Skirting ,0,395,SSO-12149005
3/31/2023,POR-11043580,202,Painting ,Skirting ,0,395,SSO-12149005
3/31/2023,POR-11043580,203,Painting ,Skirting ,0,395,SSO-12149005
3/31/2023,POR-11043582,202,Painting ,Skirting ,0,395,SSO-12149005
3/31/2023,POR-11043582,203,Painting ,Skirting ,0,395,SSO-12149005
3/31/2023,POR-11043582,202,Painting ,Skirting ,0,395,SSO-12149005
3/31/2023,POR-11043582,201,Painting ,Skirting ,0,395,SSO-12149005
3/31/2023,POR-11043582,200,Painting ,Skirting ,50,395,SSO-12149005
3/31/2023,POR-11043582,112,Assembly,Skirting ,0,395,SSO-12149005
3/31/2023,POR-11043382,103,Machine Carpentry,Skirting ,0,395,SSO-12149005
3/31/2023,POR-11043382,106,Machine Carpentry,Skirting ,0,395,SSO-12149005
3/31/2023,POR-11043382,101,Machine Carpentry,Skirting ,0,395,SSO-12149005
3/31/2023,POR-11043382,100,Machine Carpentry,Skirting ,30,395,SSO-12149005
4/27/2023,POR-11043382,600,Control & Packing,Skirting ,0,395,SSO-12149005
3/22/2023,POR-11043358,600,Control & Packing,Cabinet,0,5,SSO-12149005
3/31/2023,POR-11043413,205,Painting ,Cabinet,0,5,SSO-12149005
3/31/2023,POR-11043412,202,Painting ,Cabinet,0,5,SSO-12149005
3/31/2023,POR-11042923,203,Painting ,Cabinet,0,5,SSO-12149005
3/31/2023,POR-11043320,202,Painting ,Cabinet,0,5,SSO-12149005
3/31/2023,POR-11043365,203,Painting ,Cabinet,0,5,SSO-12149005
3/31/2023,POR-11043364,202,Painting ,Cabinet,0,5,SSO-12149005
3/31/2023,POR-11043367,201,Painting ,Cabinet,0,5,SSO-12149005
3/31/2023,POR-11043366,200,Painting ,Cabinet,100,5,SSO-12149005
3/31/2023,POR-11042626,112,Assembly,Cabinet,0,5,SSO-12149005
3/31/2023,POR-11043379,103,Machine Carpentry,Cabinet,0,5,SSO-12149005
3/31/2023,POR-11043414,106,Machine Carpentry,Cabinet,0,5,SSO-12149005
3/31/2023,POR-11042901,101,Machine Carpentry,Cabinet,0,5,SSO-12149005
3/31/2023,POR-11042838,100,Machine Carpentry,Cabinet,50,5,SSO-12149005
3/22/2023,POR-11042838,600,Control & Packing,Cabinet,0,1,SSO-12149005
3/31/2023,POR-11042838,205,Painting ,Cabinet,0,1,SSO-12149005
3/31/2023,POR-11042838,202,Painting ,Cabinet,0,1,SSO-12149005
3/31/2023,POR-11042816,203,Painting ,Cabinet,0,1,SSO-12149005
3/31/2023,POR-11042816,202,Painting ,Cabinet,0,1,SSO-12149005
3/31/2023,POR-11042816,203,Painting ,Cabinet,0,1,SSO-12149005
3/31/2023,POR-11042816,202,Painting ,Cabinet,0,1,SSO-12149005
3/31/2023,POR-11042815,201,Painting ,Cabinet,0,1,SSO-12149005
3/31/2023,POR-11042815,200,Painting ,Cabinet,20,1,SSO-12149005
3/31/2023,POR-11042815,112,Assembly,Cabinet,0,1,SSO-12149005
3/31/2023,POR-11042815,103,Machine Carpentry,Cabinet,0,1,SSO-12149005
3/31/2023,POR-11043469,106,Machine Carpentry,Cabinet,0,1,SSO-12149005
3/31/2023,POR-11043469,101,Machine Carpentry,Cabinet,0,1,SSO-12149005
3/31/2023,POR-11043469,100,Machine Carpentry,Cabinet,20,1,SSO-12149005
5/4/2023,POR-11043469,100,Machine Carpentry,Cabinet,0.25,0,SSO-12149005
5/4/2023,POR-11043469,101,Machine Carpentry,Cabinet,0.59,0,SSO-12149005
5/4/2023,POR-11043469,103,Machine Carpentry,Cabinet,1,0,SSO-12149005
5/4/2023,POR-11043468,106,Machine Carpentry,Cabinet,8,0,SSO-12149005
5/4/2023,POR-11043468,107,Assembly,Cabinet,50,0,SSO-12149005
3/22/2023,POR-11043468,600,Control & Packing,Cabinet,0,18,SSO-12149005
3/31/2023,POR-11043468,205,Painting ,Cabinet,0,18,SSO-12149005
3/31/2023,POR-11043468,202,Painting ,Cabinet,0,18,SSO-12149005
3/31/2023,POR-11043468,203,Painting ,Cabinet,0,18,SSO-12149005
3/31/2023,POR-11039890,202,Painting ,Cabinet,0,18,SSO-12149005
3/31/2023,POR-11039890,203,Painting ,Cabinet,0,18,SSO-12149005
3/31/2023,POR-11039890,202,Painting ,Cabinet,0,18,SSO-12149005
3/31/2023,POR-11039890,201,Painting ,Cabinet,0,18,SSO-12149005
3/31/2023,POR-11039890,200,Painting ,Cabinet,100,18,SSO-12149005
3/31/2023,POR-11039768,112,Assembly,Cabinet,0,18,SSO-12149005
3/31/2023,POR-11039768,103,Machine Carpentry,Cabinet,0,18,SSO-12149005
3/31/2023,POR-11039768,106,Machine Carpentry,Cabinet,0,18,SSO-12149005
3/31/2023,POR-11039768,101,Machine Carpentry,Cabinet,0,18,SSO-12149005
3/31/2023,POR-11039768,100,Machine Carpentry,Cabinet,50,18,SSO-12149005
3/22/2023,POR-11043380,600,Control & Packing,Cabinet,0,2.2,SSO-12149005
3/31/2023,POR-11043380,205,Painting ,Cabinet,0,2.2,SSO-12149005
3/31/2023,POR-11043379,202,Painting ,Cabinet,0,2.2,SSO-12149005
3/31/2023,POR-11043379,203,Painting ,Cabinet,0,2.2,SSO-12149005
3/31/2023,POR-11042901,202,Painting ,Cabinet,0,2.2,SSO-12149005
3/31/2023,POR-11042901,203,Painting ,Cabinet,0,2.2,SSO-12149005
3/31/2023,POR-11042901,202,Painting ,Cabinet,0,2.2,SSO-12149005
3/31/2023,POR-11042901,201,Painting ,Cabinet,0,2.2,SSO-12149005
